* Measurement data measured by REW V5.30 beta 4
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 5, 2023 12:13:34 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Conch Black 400 Tape
* Measurement: Conch Black 400 Tape
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
218.994141 80.335 157.6932
219.360352 80.327 157.6761
219.726562 80.315 157.6728
220.092773 80.302 157.6960
220.458984 80.289 157.7458
220.825195 80.280 157.8095
221.191406 80.274 157.8692
221.557617 80.269 157.9111
221.923828 80.264 157.9337
222.290039 80.257 157.9471
222.656250 80.247 157.9650
223.022461 80.238 157.9945
223.388672 80.230 158.0308
223.754883 80.224 158.0621
224.121094 80.219 158.0802
224.487305 80.213 158.0878
224.853516 80.206 158.0969
225.219727 80.199 158.1172
225.585938 80.194 158.1467
225.952148 80.192 158.1725
226.318359 80.191 158.1830
226.684570 80.189 158.1796
227.050781 80.183 158.1776
227.416992 80.177 158.1927
227.783203 80.172 158.2254
228.149414 80.168 158.2590
228.515625 80.165 158.2769
228.881836 80.159 158.2844
229.248047 80.147 158.3141
229.614258 80.133 158.4022
229.980469 80.126 158.5504
230.346680 80.134 158.7061
230.712891 80.155 158.7854
231.079102 80.179 158.7292
231.445312 80.188 158.5524
231.811523 80.174 158.3433
232.177734 80.139 158.2151
232.543945 80.097 158.2359
232.910156 80.066 158.3858
233.276367 80.056 158.5721
233.642578 80.061 158.6938
234.008789 80.070 158.7070
234.375000 80.071 158.6411
234.741211 80.061 158.5649
235.107422 80.042 158.5338
235.473633 80.025 158.5588
235.839844 80.013 158.6126
236.206055 80.006 158.6607
236.572266 80.002 158.6876
236.938477 79.997 158.7000
237.304688 79.991 158.7121
237.670898 79.985 158.7307
238.037109 79.980 158.7520
238.403320 79.976 158.7698
238.769531 79.972 158.7829
239.135742 79.967 158.7948
239.501953 79.961 158.8091
239.868164 79.956 158.8264
240.234375 79.950 158.8449
240.600586 79.944 158.8640
240.966797 79.938 158.8842
241.333008 79.932 158.9061
241.699219 79.926 158.9284
242.065430 79.920 158.9496
242.431641 79.914 158.9688
242.797852 79.909 158.9856
243.164062 79.904 158.9962
243.530273 79.900 158.9936
243.896484 79.893 158.9740
244.262695 79.883 158.9453
244.628906 79.869 158.9286
244.995117 79.852 158.9470
245.361328 79.837 159.0070
245.727539 79.828 159.0887
246.093750 79.827 159.1556
246.459961 79.829 159.1799
246.826172 79.828 159.1632
247.192383 79.822 159.1343
247.558594 79.811 159.1261
247.924805 79.801 159.1498
248.291016 79.794 159.1879
248.657227 79.791 159.2123
249.023438 79.787 159.2104
249.389648 79.780 159.1956
249.755859 79.768 159.1944
250.122070 79.756 159.2219
250.488281 79.746 159.2690
250.854492 79.740 159.3121
251.220703 79.734 159.3359
251.586914 79.726 159.3470
251.953125 79.715 159.3652
252.319336 79.704 159.4029
252.685547 79.695 159.4516
253.051758 79.688 159.4902
253.417969 79.681 159.5067
253.784180 79.670 159.5121
254.150391 79.656 159.5334
254.516602 79.640 159.5896
254.882812 79.628 159.6748
255.249023 79.622 159.7618
255.615234 79.619 159.8246
255.981445 79.616 159.8593
256.347656 79.610 159.8845
256.713867 79.602 159.9243
257.080078 79.595 159.9875
257.446289 79.591 160.0636
257.812500 79.591 160.1346
258.178711 79.593 160.1906
258.544922 79.597 160.2331
258.911133 79.600 160.2668
259.277344 79.605 160.2891
259.643555 79.610 160.2918
260.009766 79.612 160.2729
260.375977 79.610 160.2462
260.742188 79.604 160.2360
261.108398 79.597 160.2596
261.474609 79.592 160.3112
261.840820 79.593 160.3624
262.207031 79.598 160.3816
262.573242 79.602 160.3568
262.939453 79.599 160.3051
263.305664 79.588 160.2625
263.671875 79.572 160.2610
264.038086 79.558 160.3105
264.404297 79.548 160.3939
264.770508 79.547 160.4759
265.136719 79.552 160.5202
265.502930 79.557 160.5057
265.869141 79.558 160.4366
266.235352 79.548 160.3438
266.601562 79.528 160.2754
266.967773 79.500 160.2767
267.333984 79.474 160.3664
267.700195 79.458 160.5212
268.066406 79.456 160.6837
268.432617 79.466 160.7912
268.798828 79.480 160.8104
269.165039 79.487 160.7542
269.531250 79.484 160.6693
269.897461 79.471 160.6073
270.263672 79.455 160.5961
270.629883 79.439 160.6314
270.996094 79.429 160.6877
271.362305 79.423 160.7395
271.728516 79.419 160.7759
272.094727 79.414 160.8007
272.460938 79.409 160.8232
272.827148 79.403 160.8493
273.193359 79.398 160.8786
273.559570 79.393 160.9079
273.925781 79.389 160.9348
274.291992 79.385 160.9594
274.658203 79.380 160.9835
275.024414 79.375 161.0092
275.390625 79.370 161.0388
275.756836 79.366 161.0728
276.123047 79.362 161.1097
276.489258 79.358 161.1461
276.855469 79.355 161.1788
277.221680 79.352 161.2078
277.587891 79.349 161.2368
277.954102 79.345 161.2700
278.320312 79.342 161.3074
278.686523 79.340 161.3430
279.052734 79.339 161.3688
279.418945 79.339 161.3801
279.785156 79.336 161.3795
280.151367 79.332 161.3746
280.517578 79.326 161.3734
280.883789 79.318 161.3803
281.250000 79.310 161.3970
281.616211 79.303 161.4246
281.982422 79.296 161.4627
282.348633 79.292 161.5054
282.714844 79.292 161.5391
283.081055 79.293 161.5472
283.447266 79.292 161.5222
283.813477 79.286 161.4766
284.179688 79.273 161.4413
284.545898 79.253 161.4510
284.912109 79.234 161.5238
285.278320 79.220 161.6489
285.644531 79.216 161.7931
286.010742 79.219 161.9199
286.376953 79.226 162.0095
286.743164 79.233 162.0643
287.109375 79.239 162.0997
287.475586 79.242 162.1299
287.841797 79.244 162.1596
288.208008 79.246 162.1867
288.574219 79.248 162.2093
288.940430 79.248 162.2303
289.306641 79.248 162.2549
289.672852 79.249 162.2844
290.039062 79.251 162.3131
290.405273 79.255 162.3310
290.771484 79.259 162.3303
291.137695 79.262 162.3112
291.503906 79.263 162.2814
291.870117 79.260 162.2515
292.236328 79.256 162.2289
292.602539 79.252 162.2147
292.968750 79.248 162.2047
293.334961 79.244 162.1941
293.701172 79.239 162.1812
294.067383 79.233 162.1694
294.433594 79.226 162.1643
294.799805 79.219 162.1697
295.166016 79.212 162.1835
295.532227 79.207 162.1989
295.898438 79.202 162.2083
296.264648 79.197 162.2085
296.630859 79.191 162.2032
296.997070 79.182 162.2003
297.363281 79.172 162.2068
297.729492 79.162 162.2253
298.095703 79.152 162.2540
298.461914 79.143 162.2902
298.828125 79.134 162.3318
299.194336 79.128 162.3771
299.560547 79.123 162.4228
299.926758 79.120 162.4631
300.292969 79.119 162.4926
300.659180 79.119 162.5089
301.025391 79.118 162.5141
301.391602 79.116 162.5117
301.757812 79.114 162.5042
302.124023 79.111 162.4921
302.490234 79.107 162.4770
302.856445 79.101 162.4648
303.222656 79.094 162.4635
303.588867 79.086 162.4777
303.955078 79.080 162.5046
304.321289 79.075 162.5356
304.687500 79.071 162.5634
305.053711 79.067 162.5883
305.419922 79.062 162.6163
305.786133 79.058 162.6523
306.152344 79.055 162.6923
306.518555 79.053 162.7250
306.884766 79.052 162.7412
307.250977 79.048 162.7438
307.617188 79.041 162.7469
307.983398 79.032 162.7655
308.349609 79.023 162.8032
308.715820 79.017 162.8491
309.082031 79.013 162.8875
309.448242 79.009 162.9109
309.814453 79.003 162.9259
310.180664 78.996 162.9463
310.546875 78.989 162.9800
310.913086 78.984 163.0218
311.279297 78.981 163.0574
311.645508 78.981 163.0755
312.011719 78.979 163.0768
312.377930 78.974 163.0731
312.744141 78.968 163.0789
313.110352 78.961 163.1027
313.476562 78.957 163.1430
313.842773 78.955 163.1909
314.208984 78.956 163.2348
314.575195 78.960 163.2633
314.941406 78.965 163.2681
315.307617 78.969 163.2470
315.673828 78.969 163.2073
316.040039 78.965 163.1642
316.406250 78.958 163.1348
316.772461 78.948 163.1288
317.138672 78.938 163.1439
317.504883 78.930 163.1689
317.871094 78.924 163.1938
318.237305 78.917 163.2162
318.603516 78.910 163.2415
318.969727 78.902 163.2740
319.335938 78.897 163.3105
319.702148 78.892 163.3405
320.068359 78.888 163.3556
320.434570 78.881 163.3592
320.800781 78.872 163.3672
321.166992 78.860 163.3981
321.533203 78.849 163.4591
321.899414 78.842 163.5386
322.265625 78.841 163.6115
322.631836 78.843 163.6547
322.998047 78.844 163.6625
323.364258 78.841 163.6512
323.730469 78.832 163.6505
324.096680 78.821 163.6848
324.462891 78.813 163.7569
324.829102 78.810 163.8452
325.195312 78.814 163.9148
325.561523 78.820 163.9399
325.927734 78.824 163.9205
326.293945 78.820 163.8834
326.660156 78.810 163.8649
327.026367 78.798 163.8875
